ID,Sex,Name,Count
alaska,Female,Sophia,62
alabama,Female,Emma,318
arkansas,Female,Emma,202
arizona,Female,Isabella,556
california,Female,Isabella,3366
colorado,Female,Isabella,342
connecticut,Female,Isabella,278
district of columbia,Female,Madison,50
delaware,Female,Sophia,73
florida,Female,Isabella,1837
georgia,Female,Isabella,570
hawaii,Female,Isabella,70
iowa,Female,Ava,208
idaho,Female,Olivia,122
illinois,Female,Isabella,945
indiana,Female,Emma,457
kansas,Female,Isabella,214
kentucky,Female,Isabella,375
louisiana,Female,Ava,299
massachusetts,Female,Isabella,497
maryland,Female,Sophia,344
maine,Female,Emma,91
michigan,Female,Sophia,634
minnesota,Female,Ava,384
missouri,Female,Isabella,427
mississippi,Female,Madison,203
montana,Female,Emma,62
north carolina,Female,Emma,578
north dakota,Female,Sophia,53
nebraska,Female,Olivia,156
new hampshire,Female,Sophia,91
new jersey,Female,Isabella,749
new mexico,Female,Isabella,157
nevada,Female,Isabella,226
new york,Female,Isabella,1523
ohio,Female,Isabella,791
oklahoma,Female,Isabella,253
oregon,Female,Sophia,244
pennsylvania,Female,Isabella,899
rhode island,Female,Isabella,93
south carolina,Female,Madison,290
south dakota,Female,Sophia,59
tennessee,Female,Isabella,444
texas,Female,Isabella,2296
utah,Female,Olivia,269
virginia,Female,Olivia,495
vermont,Female,Sophia,45
washington,Female,Sophia,464
wisconsin,Female,Sophia,397
west virginia,Female,Isabella,153
wyoming,Female,Isabella,44
