"ID","Sex","Year","Name","Count"
"Alaska","M",2000,"Michael",74
"Alabama","M",2000,"William",655
"Arkansas","M",2000,"Jacob",378
"Arizona","M",2000,"Jacob",682
"California","M",2000,"Daniel",4342
"Colorado","M",2000,"Jacob",519
"Connecticut","M",2000,"Michael",553
"District of Columbia","M",2000,"John",113
"Delaware","M",2000,"Michael",139
"Florida","M",2000,"Michael",1829
"Georgia","M",2000,"William",1107
"Hawaii","M",2000,"Joshua",131
"Iowa","M",2000,"Jacob",484
"Idaho","M",2000,"Jacob",163
"Illinois","M",2000,"Jacob",1593
"Indiana","M",2000,"Jacob",1061
"Kansas","M",2000,"Jacob",405
"Kentucky","M",2000,"Jacob",806
"Louisiana","M",2000,"Joshua",473
"Massachusetts","M",2000,"Matthew",1038
"Maryland","M",2000,"Michael",618
"Maine","M",2000,"Jacob",166
"Michigan","M",2000,"Jacob",1570
"Minnesota","M",2000,"Jacob",752
"Missouri","M",2000,"Jacob",902
"Mississippi","M",2000,"William",391
"Montana","M",2000,"Jacob",99
"North Carolina","M",2000,"William",1043
"North Dakota","M",2000,"Jacob",114
"Nebraska","M",2000,"Jacob",270
"New Hampshire","M",2000,"Jacob",197
"New Jersey","M",2000,"Michael",1437
"New Mexico","M",2000,"Jacob",217
"Nevada","M",2000,"Jacob",234
"New York","M",2000,"Michael",2890
"Ohio","M",2000,"Jacob",1885
"Oklahoma","M",2000,"Jacob",467
"Oregon","M",2000,"Jacob",446
"Pennsylvania","M",2000,"Michael",1491
"Rhode Island","M",2000,"Matthew",150
"South Carolina","M",2000,"William",552
"South Dakota","M",2000,"Jacob",121
"Tennessee","M",2000,"Jacob",950
"Texas","M",2000,"Jose",3097
"Utah","M",2000,"Jacob",440
"Virginia","M",2000,"Jacob",869
"Vermont","M",2000,"Jacob",79
"Washington","M",2000,"Jacob",653
"Wisconsin","M",2000,"Jacob",735
"West Virginia","M",2000,"Jacob",313
"Wyoming","M",2000,"Jacob",49
"Alaska","F",2000,"Hannah",58
"Alabama","F",2000,"Hannah",443
"Arkansas","F",2000,"Hannah",288
"Arizona","F",2000,"Emily",408
"California","F",2000,"Emily",2958
"Colorado","F",2000,"Emily",367
"Connecticut","F",2000,"Emily",335
"District of Columbia","F",2000,"Kayla",74
"Delaware","F",2000,"Emily",80
"Florida","F",2000,"Emily",1205
"Georgia","F",2000,"Hannah",797
"Hawaii","F",2000,"Kayla",63
"Hawaii","F",2000,"Taylor",63
"Iowa","F",2000,"Madison",296
"Idaho","F",2000,"Hannah",133
"Illinois","F",2000,"Emily",1172
"Indiana","F",2000,"Hannah",634
"Kansas","F",2000,"Madison",277
"Kentucky","F",2000,"Hannah",562
"Louisiana","F",2000,"Madison",465
"Massachusetts","F",2000,"Emily",753
"Maryland","F",2000,"Emily",459
"Maine","F",2000,"Emily",123
"Michigan","F",2000,"Emily",942
"Minnesota","F",2000,"Emily",559
"Missouri","F",2000,"Hannah",606
"Mississippi","F",2000,"Hannah",283
"Montana","F",2000,"Madison",95
"North Carolina","F",2000,"Hannah",938
"North Dakota","F",2000,"Madison",82
"Nebraska","F",2000,"Hannah",195
"New Hampshire","F",2000,"Emily",159
"New Jersey","F",2000,"Emily",812
"New Mexico","F",2000,"Alexis",141
"Nevada","F",2000,"Emily",162
"New York","F",2000,"Emily",1719
"Ohio","F",2000,"Hannah",1191
"Oklahoma","F",2000,"Madison",329
"Oregon","F",2000,"Emily",312
"Pennsylvania","F",2000,"Emily",1174
"Rhode Island","F",2000,"Emily",122
"South Carolina","F",2000,"Hannah",387
"South Dakota","F",2000,"Hannah",97
"Tennessee","F",2000,"Hannah",705
"Texas","F",2000,"Emily",2038
"Utah","F",2000,"Madison",311
"Virginia","F",2000,"Hannah",708
"Vermont","F",2000,"Emily",69
"Washington","F",2000,"Emily",558
"Wisconsin","F",2000,"Emily",560
"West Virginia","F",2000,"Hannah",220
"Wyoming","F",2000,"Madison",45
