"ID","Sex","Year","Name","Count"
"Alaska","M",2015,"Liam",53
"Alabama","M",2015,"William",414
"Arkansas","M",2015,"William",198
"Arizona","M",2015,"Noah",447
"California","M",2015,"Noah",2773
"Colorado","M",2015,"Liam",306
"Connecticut","M",2015,"Noah",216
"District of Columbia","M",2015,"William",78
"Delaware","M",2015,"Liam",60
"Delaware","M",2015,"Mason",60
"Delaware","M",2015,"Noah",60
"Florida","M",2015,"Liam",1282
"Georgia","M",2015,"William",730
"Hawaii","M",2015,"Noah",77
"Iowa","M",2015,"Liam",214
"Idaho","M",2015,"Liam",111
"Illinois","M",2015,"Noah",868
"Indiana","M",2015,"Liam",407
"Kansas","M",2015,"Liam",181
"Kentucky","M",2015,"William",337
"Louisiana","M",2015,"Noah",297
"Massachusetts","M",2015,"Benjamin",456
"Maryland","M",2015,"Noah",388
"Maine","M",2015,"Liam",78
"Maine","M",2015,"Owen",78
"Michigan","M",2015,"Noah",531
"Minnesota","M",2015,"Henry",393
"Missouri","M",2015,"Liam",380
"Mississippi","M",2015,"William",212
"Montana","M",2015,"William",63
"North Carolina","M",2015,"William",705
"North Dakota","M",2015,"Liam",63
"Nebraska","M",2015,"Henry",127
"New Hampshire","M",2015,"Jackson",85
"New Jersey","M",2015,"Liam",572
"New Mexico","M",2015,"Noah",131
"Nevada","M",2015,"Liam",185
"Nevada","M",2015,"Noah",185
"New York","M",2015,"Liam",1396
"Ohio","M",2015,"Liam",691
"Oklahoma","M",2015,"Elijah",218
"Oregon","M",2015,"Liam",224
"Pennsylvania","M",2015,"Mason",793
"Rhode Island","M",2015,"Noah",73
"South Carolina","M",2015,"William",360
"South Dakota","M",2015,"Oliver",62
"Tennessee","M",2015,"William",528
"Texas","M",2015,"Noah",2161
"Utah","M",2015,"William",314
"Virginia","M",2015,"William",552
"Vermont","M",2015,"Liam",40
"Washington","M",2015,"Oliver",398
"Wisconsin","M",2015,"Oliver",306
"West Virginia","M",2015,"Noah",137
"Wyoming","M",2015,"Liam",38
"Alaska","F",2015,"Olivia",56
"Alabama","F",2015,"Ava",298
"Arkansas","F",2015,"Emma",214
"Arizona","F",2015,"Sophia",476
"California","F",2015,"Sophia",2956
"Colorado","F",2015,"Emma",355
"Connecticut","F",2015,"Sophia",217
"District of Columbia","F",2015,"Genesis",50
"Delaware","F",2015,"Ava",69
"Florida","F",2015,"Isabella",1385
"Georgia","F",2015,"Ava",634
"Hawaii","F",2015,"Mia",73
"Iowa","F",2015,"Emma",200
"Idaho","F",2015,"Olivia",116
"Illinois","F",2015,"Olivia",816
"Indiana","F",2015,"Emma",435
"Kansas","F",2015,"Emma",215
"Kentucky","F",2015,"Emma",308
"Louisiana","F",2015,"Ava",323
"Massachusetts","F",2015,"Olivia",430
"Maryland","F",2015,"Olivia",321
"Maine","F",2015,"Emma",75
"Michigan","F",2015,"Olivia",604
"Minnesota","F",2015,"Olivia",378
"Missouri","F",2015,"Emma",396
"Mississippi","F",2015,"Ava",214
"Montana","F",2015,"Emma",69
"North Carolina","F",2015,"Ava",624
"North Dakota","F",2015,"Ava",71
"North Dakota","F",2015,"Emma",71
"Nebraska","F",2015,"Olivia",121
"New Hampshire","F",2015,"Olivia",91
"New Jersey","F",2015,"Emma",532
"New Mexico","F",2015,"Mia",122
"Nevada","F",2015,"Sophia",190
"New York","F",2015,"Olivia",1298
"Ohio","F",2015,"Emma",723
"Oklahoma","F",2015,"Emma",270
"Oregon","F",2015,"Emma",234
"Pennsylvania","F",2015,"Olivia",786
"Rhode Island","F",2015,"Olivia",83
"South Carolina","F",2015,"Ava",281
"South Dakota","F",2015,"Harper",59
"Tennessee","F",2015,"Emma",477
"Texas","F",2015,"Emma",2205
"Utah","F",2015,"Emma",285
"Virginia","F",2015,"Emma",466
"Vermont","F",2015,"Emma",33
"Washington","F",2015,"Olivia",478
"Wisconsin","F",2015,"Emma",352
"West Virginia","F",2015,"Emma",143
"Wyoming","F",2015,"Emma",39
