"ID","Sex","Year","Name","Count"
"Alaska","Female",2000,"Hannah",58
"Alabama","Female",2000,"Hannah",443
"Arkansas","Female",2000,"Hannah",288
"Arizona","Female",2000,"Emily",408
"California","Female",2000,"Emily",2958
"Colorado","Female",2000,"Emily",367
"Connecticut","Female",2000,"Emily",335
"District of Columbia","Female",2000,"Kayla",74
"Delaware","Female",2000,"Emily",80
"Florida","Female",2000,"Emily",1205
"Georgia","Female",2000,"Hannah",797
"Hawaii","Female",2000,"Kayla",63
"Hawaii","Female",2000,"Taylor",63
"Iowa","Female",2000,"Madison",296
"Idaho","Female",2000,"Hannah",133
"Illinois","Female",2000,"Emily",1172
"Indiana","Female",2000,"Hannah",634
"Kansas","Female",2000,"Madison",277
"Kentucky","Female",2000,"Hannah",562
"Louisiana","Female",2000,"Madison",465
"Massachusetts","Female",2000,"Emily",753
"Maryland","Female",2000,"Emily",459
"Maine","Female",2000,"Emily",123
"Michigan","Female",2000,"Emily",942
"Minnesota","Female",2000,"Emily",559
"Missouri","Female",2000,"Hannah",606
"Mississippi","Female",2000,"Hannah",283
"Montana","Female",2000,"Madison",95
"North Carolina","Female",2000,"Hannah",938
"North Dakota","Female",2000,"Madison",82
"Nebraska","Female",2000,"Hannah",195
"New Hampshire","Female",2000,"Emily",159
"New Jersey","Female",2000,"Emily",812
"New Mexico","Female",2000,"Alexis",141
"Nevada","Female",2000,"Emily",162
"New York","Female",2000,"Emily",1719
"Ohio","Female",2000,"Hannah",1191
"Oklahoma","Female",2000,"Madison",329
"Oregon","Female",2000,"Emily",312
"Pennsylvania","Female",2000,"Emily",1174
"Rhode Island","Female",2000,"Emily",122
"South Carolina","Female",2000,"Hannah",387
"South Dakota","Female",2000,"Hannah",97
"Tennessee","Female",2000,"Hannah",705
"Texas","Female",2000,"Emily",2038
"Utah","Female",2000,"Madison",311
"Virginia","Female",2000,"Hannah",708
"Vermont","Female",2000,"Emily",69
"Washington","Female",2000,"Emily",558
"Wisconsin","Female",2000,"Emily",560
"West Virginia","Female",2000,"Hannah",220
"Wyoming","Female",2000,"Madison",45
