"ID","Sex","Year","Name","Count"
"Alaska","Male",1950,"Robert",91
"Alabama","Male",1950,"James",2659
"Arkansas","Male",1950,"James",1429
"Arizona","Male",1950,"Robert",419
"California","Male",1950,"Robert",6036
"Colorado","Male",1950,"Robert",781
"Connecticut","Male",1950,"Robert",1253
"District of Columbia","Male",1950,"John",808
"Delaware","Male",1950,"William",233
"Florida","Male",1950,"James",1824
"Georgia","Male",1950,"James",2712
"Hawaii","Male",1950,"Michael",219
"Iowa","Male",1950,"David",1412
"Idaho","Male",1950,"Robert",290
"Illinois","Male",1950,"James",4986
"Indiana","Male",1950,"Michael",2346
"Kansas","Male",1950,"Robert",921
"Kentucky","Male",1950,"James",2252
"Louisiana","Male",1950,"James",1534
"Massachusetts","Male",1950,"Robert",3212
"Maryland","Male",1950,"John",1286
"Maine","Male",1950,"Robert",484
"Michigan","Male",1950,"Robert",4012
"Minnesota","Male",1950,"Michael",1682
"Missouri","Male",1950,"James",2195
"Mississippi","Male",1950,"James",1979
"Montana","Male",1950,"Robert",364
"North Carolina","Male",1950,"James",3322
"North Dakota","Male",1950,"David",298
"Nebraska","Male",1950,"Robert",771
"New Hampshire","Male",1950,"Robert",314
"New Jersey","Male",1950,"Robert",3164
"New Mexico","Male",1950,"Robert",395
"Nevada","Male",1950,"John",101
"New York","Male",1950,"Robert",8627
"Ohio","Male",1950,"James",4812
"Oklahoma","Male",1950,"James",1102
"Oregon","Male",1950,"Robert",813
"Pennsylvania","Male",1950,"John",6859
"Rhode Island","Male",1950,"Robert",550
"South Carolina","Male",1950,"James",2108
"South Dakota","Male",1950,"David",403
"Tennessee","Male",1950,"James",2835
"Texas","Male",1950,"James",4177
"Utah","Male",1950,"David",421
"Virginia","Male",1950,"James",2357
"Vermont","Male",1950,"David",212
"Washington","Male",1950,"Michael",1395
"Wisconsin","Male",1950,"James",2135
"West Virginia","Male",1950,"James",1435
"Wyoming","Male",1950,"John",165
