"ID","Sex","Year","Name","Count"
"Alaska","Female",2015,"Olivia",56
"Alabama","Female",2015,"Ava",298
"Arkansas","Female",2015,"Emma",214
"Arizona","Female",2015,"Sophia",476
"California","Female",2015,"Sophia",2956
"Colorado","Female",2015,"Emma",355
"Connecticut","Female",2015,"Sophia",217
"District of Columbia","Female",2015,"Genesis",50
"Delaware","Female",2015,"Ava",69
"Florida","Female",2015,"Isabella",1385
"Georgia","Female",2015,"Ava",634
"Hawaii","Female",2015,"Mia",73
"Iowa","Female",2015,"Emma",200
"Idaho","Female",2015,"Olivia",116
"Illinois","Female",2015,"Olivia",816
"Indiana","Female",2015,"Emma",435
"Kansas","Female",2015,"Emma",215
"Kentucky","Female",2015,"Emma",308
"Louisiana","Female",2015,"Ava",323
"Massachusetts","Female",2015,"Olivia",430
"Maryland","Female",2015,"Olivia",321
"Maine","Female",2015,"Emma",75
"Michigan","Female",2015,"Olivia",604
"Minnesota","Female",2015,"Olivia",378
"Missouri","Female",2015,"Emma",396
"Mississippi","Female",2015,"Ava",214
"Montana","Female",2015,"Emma",69
"North Carolina","Female",2015,"Ava",624
"North Dakota","Female",2015,"Ava",71
"North Dakota","Female",2015,"Emma",71
"Nebraska","Female",2015,"Olivia",121
"New Hampshire","Female",2015,"Olivia",91
"New Jersey","Female",2015,"Emma",532
"New Mexico","Female",2015,"Mia",122
"Nevada","Female",2015,"Sophia",190
"New York","Female",2015,"Olivia",1298
"Ohio","Female",2015,"Emma",723
"Oklahoma","Female",2015,"Emma",270
"Oregon","Female",2015,"Emma",234
"Pennsylvania","Female",2015,"Olivia",786
"Rhode Island","Female",2015,"Olivia",83
"South Carolina","Female",2015,"Ava",281
"South Dakota","Female",2015,"Harper",59
"Tennessee","Female",2015,"Emma",477
"Texas","Female",2015,"Emma",2205
"Utah","Female",2015,"Emma",285
"Virginia","Female",2015,"Emma",466
"Vermont","Female",2015,"Emma",33
"Washington","Female",2015,"Olivia",478
"Wisconsin","Female",2015,"Emma",352
"West Virginia","Female",2015,"Emma",143
"Wyoming","Female",2015,"Emma",39
