"ID","Sex","Year","Name","Count"
"Alaska","Male",2000,"Michael",74
"Alabama","Male",2000,"William",655
"Arkansas","Male",2000,"Jacob",378
"Arizona","Male",2000,"Jacob",682
"California","Male",2000,"Daniel",4342
"Colorado","Male",2000,"Jacob",519
"Connecticut","Male",2000,"Michael",553
"District of Columbia","Male",2000,"John",113
"Delaware","Male",2000,"Michael",139
"Florida","Male",2000,"Michael",1829
"Georgia","Male",2000,"William",1107
"Hawaii","Male",2000,"Joshua",131
"Iowa","Male",2000,"Jacob",484
"Idaho","Male",2000,"Jacob",163
"Illinois","Male",2000,"Jacob",1593
"Indiana","Male",2000,"Jacob",1061
"Kansas","Male",2000,"Jacob",405
"Kentucky","Male",2000,"Jacob",806
"Louisiana","Male",2000,"Joshua",473
"Massachusetts","Male",2000,"Matthew",1038
"Maryland","Male",2000,"Michael",618
"Maine","Male",2000,"Jacob",166
"Michigan","Male",2000,"Jacob",1570
"Minnesota","Male",2000,"Jacob",752
"Missouri","Male",2000,"Jacob",902
"Mississippi","Male",2000,"William",391
"Montana","Male",2000,"Jacob",99
"North Carolina","Male",2000,"William",1043
"North Dakota","Male",2000,"Jacob",114
"Nebraska","Male",2000,"Jacob",270
"New Hampshire","Male",2000,"Jacob",197
"New Jersey","Male",2000,"Michael",1437
"New Mexico","Male",2000,"Jacob",217
"Nevada","Male",2000,"Jacob",234
"New York","Male",2000,"Michael",2890
"Ohio","Male",2000,"Jacob",1885
"Oklahoma","Male",2000,"Jacob",467
"Oregon","Male",2000,"Jacob",446
"Pennsylvania","Male",2000,"Michael",1491
"Rhode Island","Male",2000,"Matthew",150
"South Carolina","Male",2000,"William",552
"South Dakota","Male",2000,"Jacob",121
"Tennessee","Male",2000,"Jacob",950
"Texas","Male",2000,"Jose",3097
"Utah","Male",2000,"Jacob",440
"Virginia","Male",2000,"Jacob",869
"Vermont","Male",2000,"Jacob",79
"Washington","Male",2000,"Jacob",653
"Wisconsin","Male",2000,"Jacob",735
"West Virginia","Male",2000,"Jacob",313
"Wyoming","Male",2000,"Jacob",49
