"ID","Sex","Year","Name","Count"
"Alaska","Male",1960,"David",152
"Alabama","Male",1960,"James",1869
"Arkansas","Male",1960,"James",863
"Arizona","Male",1960,"David",711
"California","Male",1960,"David",7922
"Colorado","Male",1960,"David",897
"Connecticut","Male",1960,"John",1385
"District of Columbia","Male",1960,"Michael",755
"Delaware","Male",1960,"David",274
"Florida","Male",1960,"James",2350
"Georgia","Male",1960,"James",2132
"Hawaii","Male",1960,"David",245
"Hawaii","Male",1960,"Michael",245
"Iowa","Male",1960,"David",1441
"Idaho","Male",1960,"David",283
"Illinois","Male",1960,"Michael",5413
"Indiana","Male",1960,"David",2550
"Kansas","Male",1960,"David",1008
"Kentucky","Male",1960,"James",1739
"Louisiana","Male",1960,"Michael",1556
"Massachusetts","Male",1960,"John",3475
"Maryland","Male",1960,"Michael",1592
"Maine","Male",1960,"David",590
"Michigan","Male",1960,"David",4287
"Minnesota","Male",1960,"David",1977
"Missouri","Male",1960,"David",2076
"Mississippi","Male",1960,"James",1376
"Montana","Male",1960,"David",267
"North Carolina","Male",1960,"James",2372
"North Dakota","Male",1960,"David",308
"Nebraska","Male",1960,"Michael",721
"New Hampshire","Male",1960,"David",345
"New Jersey","Male",1960,"John",3358
"New Mexico","Male",1960,"David",527
"Nevada","Male",1960,"Robert",138
"New York","Male",1960,"Michael",8929
"Ohio","Male",1960,"David",5290
"Oklahoma","Male",1960,"David",1006
"Oregon","Male",1960,"David",855
"Pennsylvania","Male",1960,"John",5828
"Rhode Island","Male",1960,"Michael",565
"South Carolina","Male",1960,"James",1512
"South Dakota","Male",1960,"David",308
"Tennessee","Male",1960,"James",1999
"Texas","Male",1960,"David",4704
"Utah","Male",1960,"David",523
"Virginia","Male",1960,"James",1888
"Vermont","Male",1960,"Michael",247
"Washington","Male",1960,"David",1375
"Wisconsin","Male",1960,"David",2319
"West Virginia","Male",1960,"David",917
"Wyoming","Male",1960,"David",146
